Video,Frame,Traffic Density,Proximity,Agent Action,Description
3.mp4,0,1,0,CRUISE,✅ Cruising safely
3.mp4,1,1,0,CRUISE,✅ Cruising safely
3.mp4,2,1,0,CRUISE,✅ Cruising safely
3.mp4,3,1,0,CRUISE,✅ Cruising safely
3.mp4,4,1,0,CRUISE,✅ Cruising safely
3.mp4,5,1,0,CRUISE,✅ Cruising safely
3.mp4,6,1,0,CRUISE,✅ Cruising safely
3.mp4,7,1,0,CRUISE,✅ Cruising safely
3.mp4,8,1,0,CRUISE,✅ Cruising safely
3.mp4,9,1,0,CRUISE,✅ Cruising safely
3.mp4,10,1,0,CRUISE,✅ Cruising safely
3.mp4,11,1,0,CRUISE,✅ Cruising safely
3.mp4,12,1,0,CRUISE,✅ Cruising safely
3.mp4,13,1,0,CRUISE,✅ Cruising safely
3.mp4,14,1,0,CRUISE,✅ Cruising safely
3.mp4,15,1,0,CRUISE,✅ Cruising safely
3.mp4,16,1,0,CRUISE,✅ Cruising safely
3.mp4,17,1,0,CRUISE,✅ Cruising safely
3.mp4,18,1,0,CRUISE,✅ Cruising safely
3.mp4,19,1,0,CRUISE,✅ Cruising safely
3.mp4,20,1,0,CRUISE,✅ Cruising safely
3.mp4,21,1,0,CRUISE,✅ Cruising safely
3.mp4,22,1,0,CRUISE,✅ Cruising safely
3.mp4,23,1,0,CRUISE,✅ Cruising safely
3.mp4,24,1,0,CRUISE,✅ Cruising safely
3.mp4,25,1,0,CRUISE,✅ Cruising safely
3.mp4,26,1,0,CRUISE,✅ Cruising safely
3.mp4,27,1,0,CRUISE,✅ Cruising safely
3.mp4,28,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,29,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,30,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,31,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,32,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,33,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,34,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,35,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,36,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,37,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,38,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,39,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,40,1,0,CRUISE,✅ Cruising safely
3.mp4,41,1,0,CRUISE,✅ Cruising safely
3.mp4,42,1,0,CRUISE,✅ Cruising safely
3.mp4,43,1,0,CRUISE,✅ Cruising safely
3.mp4,44,1,0,CRUISE,✅ Cruising safely
3.mp4,45,1,0,CRUISE,✅ Cruising safely
3.mp4,46,1,0,CRUISE,✅ Cruising safely
3.mp4,47,1,0,CRUISE,✅ Cruising safely
3.mp4,48,1,0,CRUISE,✅ Cruising safely
3.mp4,49,1,0,CRUISE,✅ Cruising safely
3.mp4,50,1,0,CRUISE,✅ Cruising safely
3.mp4,51,1,0,CRUISE,✅ Cruising safely
3.mp4,52,1,0,CRUISE,✅ Cruising safely
3.mp4,53,1,0,CRUISE,✅ Cruising safely
3.mp4,54,1,0,CRUISE,✅ Cruising safely
3.mp4,55,1,0,CRUISE,✅ Cruising safely
3.mp4,56,1,0,CRUISE,✅ Cruising safely
3.mp4,57,1,0,CRUISE,✅ Cruising safely
3.mp4,58,1,0,CRUISE,✅ Cruising safely
3.mp4,59,1,0,CRUISE,✅ Cruising safely
3.mp4,60,1,0,CRUISE,✅ Cruising safely
3.mp4,61,1,0,CRUISE,✅ Cruising safely
3.mp4,62,1,0,CRUISE,✅ Cruising safely
3.mp4,63,1,0,CRUISE,✅ Cruising safely
3.mp4,64,1,0,CRUISE,✅ Cruising safely
3.mp4,65,1,0,CRUISE,✅ Cruising safely
3.mp4,66,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,67,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,68,1,0,CRUISE,✅ Cruising safely
3.mp4,69,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,70,1,0,CRUISE,✅ Cruising safely
3.mp4,71,1,0,CRUISE,✅ Cruising safely
3.mp4,72,1,0,CRUISE,✅ Cruising safely
3.mp4,73,1,0,CRUISE,✅ Cruising safely
3.mp4,74,1,0,CRUISE,✅ Cruising safely
3.mp4,75,1,0,CRUISE,✅ Cruising safely
3.mp4,76,1,0,CRUISE,✅ Cruising safely
